STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
RAND,H,12,REL HUM,20250127 0000,20250127 0000,97, ,  %
RAND,H,12,REL HUM,20250127 0100,20250127 0100,100, ,  %
RAND,H,12,REL HUM,20250127 0200,20250127 0200,100, ,  %
RAND,H,12,REL HUM,20250127 0300,20250127 0300,100, ,  %
RAND,H,12,REL HUM,20250127 0400,20250127 0400,95, ,  %
RAND,H,12,REL HUM,20250127 0500,20250127 0500,98, ,  %
RAND,H,12,REL HUM,20250127 0600,20250127 0600,97, ,  %
RAND,H,12,REL HUM,20250127 0700,20250127 0700,93, ,  %
RAND,H,12,REL HUM,20250127 0800,20250127 0800,94, ,  %
RAND,H,12,REL HUM,20250127 0900,20250127 0900,77, ,  %
RAND,H,12,REL HUM,20250127 1000,20250127 1000,68, ,  %
RAND,H,12,REL HUM,20250127 1100,20250127 1100,61, ,  %
RAND,H,12,REL HUM,20250127 1200,20250127 1200,60, ,  %
RAND,H,12,REL HUM,20250127 1300,20250127 1300,53, ,  %
RAND,H,12,REL HUM,20250127 1400,20250127 1400,83, ,  %
RAND,H,12,REL HUM,20250127 1500,20250127 1500,68, ,  %
RAND,H,12,REL HUM,20250127 1600,20250127 1600,62, ,  %
RAND,H,12,REL HUM,20250127 1700,20250127 1700,78, ,  %
RAND,H,12,REL HUM,20250127 1800,20250127 1800,80, ,  %
RAND,H,12,REL HUM,20250127 1900,20250127 1900,83, ,  %
RAND,H,12,REL HUM,20250127 2000,20250127 2000,90, ,  %
RAND,H,12,REL HUM,20250127 2100,20250127 2100,87, ,  %
RAND,H,12,REL HUM,20250127 2200,20250127 2200,92, ,  %
RAND,H,12,REL HUM,20250127 2300,20250127 2300,97, ,  %
RAND,H,12,REL HUM,20250128 0000,20250128 0000,95, ,  %
RAND,H,12,REL HUM,20250128 0100,20250128 0100,95, ,  %
RAND,H,12,REL HUM,20250128 0200,20250128 0200,96, ,  %
RAND,H,12,REL HUM,20250128 0300,20250128 0300,93, ,  %
RAND,H,12,REL HUM,20250128 0400,20250128 0400,92, ,  %
RAND,H,12,REL HUM,20250128 0500,20250128 0500,90, ,  %
RAND,H,12,REL HUM,20250128 0600,20250128 0600,88, ,  %
RAND,H,12,REL HUM,20250128 0700,20250128 0700,87, ,  %
RAND,H,12,REL HUM,20250128 0800,20250128 0800,80, ,  %
RAND,H,12,REL HUM,20250128 0900,20250128 0900,68, ,  %
RAND,H,12,REL HUM,20250128 1000,20250128 1000,61, ,  %
RAND,H,12,REL HUM,20250128 1100,20250128 1100,62, ,  %
RAND,H,12,REL HUM,20250128 1200,20250128 1200,60, ,  %
RAND,H,12,REL HUM,20250128 1300,20250128 1300,59, ,  %
RAND,H,12,REL HUM,20250128 1400,20250128 1400,55, ,  %
RAND,H,12,REL HUM,20250128 1500,20250128 1500,67, ,  %
RAND,H,12,REL HUM,20250128 1600,20250128 1600,71, ,  %
RAND,H,12,REL HUM,20250128 1700,20250128 1700,81, ,  %
RAND,H,12,REL HUM,20250128 1800,20250128 1800,92, ,  %
RAND,H,12,REL HUM,20250128 1900,20250128 1900,95, ,  %
RAND,H,12,REL HUM,20250128 2000,20250128 2000,95, ,  %
RAND,H,12,REL HUM,20250128 2100,20250128 2100,97, ,  %
RAND,H,12,REL HUM,20250128 2200,20250128 2200,97, ,  %
RAND,H,12,REL HUM,20250128 2300,20250128 2300,96, ,  %
RAND,H,12,REL HUM,20250129 0000,20250129 0000,95, ,  %
RAND,H,12,REL HUM,20250129 0100,20250129 0100,99, ,  %
RAND,H,12,REL HUM,20250129 0200,20250129 0200,93, ,  %
RAND,H,12,REL HUM,20250129 0300,20250129 0300,92, ,  %
RAND,H,12,REL HUM,20250129 0400,20250129 0400,94, ,  %
RAND,H,12,REL HUM,20250129 0500,20250129 0500,89, ,  %
RAND,H,12,REL HUM,20250129 0600,20250129 0600,93, ,  %
RAND,H,12,REL HUM,20250129 0700,20250129 0700,88, ,  %
RAND,H,12,REL HUM,20250129 0800,20250129 0800,83, ,  %
RAND,H,12,REL HUM,20250129 0900,20250129 0900,78, ,  %
RAND,H,12,REL HUM,20250129 1000,20250129 1000,64, ,  %
RAND,H,12,REL HUM,20250129 1100,20250129 1100,53, ,  %
RAND,H,12,REL HUM,20250129 1200,20250129 1200,47, ,  %
RAND,H,12,REL HUM,20250129 1300,20250129 1300,52, ,  %
RAND,H,12,REL HUM,20250129 1400,20250129 1400,51, ,  %
RAND,H,12,REL HUM,20250129 1500,20250129 1500,52, ,  %
RAND,H,12,REL HUM,20250129 1600,20250129 1600,58, ,  %
RAND,H,12,REL HUM,20250129 1700,20250129 1700,70, ,  %
RAND,H,12,REL HUM,20250129 1800,20250129 1800,86, ,  %
RAND,H,12,REL HUM,20250129 1900,20250129 1900,94, ,  %
RAND,H,12,REL HUM,20250129 2000,20250129 2000,96, ,  %
RAND,H,12,REL HUM,20250129 2100,20250129 2100,98, ,  %
RAND,H,12,REL HUM,20250129 2200,20250129 2200,97, ,  %
RAND,H,12,REL HUM,20250129 2300,20250129 2300,96, ,  %
RAND,H,12,REL HUM,20250130 0000,20250130 0000,96, ,  %
RAND,H,12,REL HUM,20250130 0100,20250130 0100,100, ,  %
RAND,H,12,REL HUM,20250130 0200,20250130 0200,98, ,  %
RAND,H,12,REL HUM,20250130 0300,20250130 0300,99, ,  %
RAND,H,12,REL HUM,20250130 0400,20250130 0400,97, ,  %
RAND,H,12,REL HUM,20250130 0500,20250130 0500,96, ,  %
RAND,H,12,REL HUM,20250130 0600,20250130 0600,95, ,  %
RAND,H,12,REL HUM,20250130 0700,20250130 0700,92, ,  %
RAND,H,12,REL HUM,20250130 0800,20250130 0800,91, ,  %
RAND,H,12,REL HUM,20250130 0900,20250130 0900,76, ,  %
RAND,H,12,REL HUM,20250130 1000,20250130 1000,63, ,  %
RAND,H,12,REL HUM,20250130 1100,20250130 1100,70, ,  %
RAND,H,12,REL HUM,20250130 1200,20250130 1200,66, ,  %
RAND,H,12,REL HUM,20250130 1300,20250130 1300,62, ,  %
RAND,H,12,REL HUM,20250130 1400,20250130 1400,56, ,  %
RAND,H,12,REL HUM,20250130 1500,20250130 1500,58, ,  %
RAND,H,12,REL HUM,20250130 1600,20250130 1600,60, ,  %
RAND,H,12,REL HUM,20250130 1700,20250130 1700,72, ,  %
RAND,H,12,REL HUM,20250130 1800,20250130 1800,81, ,  %
RAND,H,12,REL HUM,20250130 1900,20250130 1900,83, ,  %
RAND,H,12,REL HUM,20250130 2000,20250130 2000,87, ,  %
RAND,H,12,REL HUM,20250130 2100,20250130 2100,87, ,  %
RAND,H,12,REL HUM,20250130 2200,20250130 2200,92, ,  %
RAND,H,12,REL HUM,20250130 2300,20250130 2300,95, ,  %
RAND,H,12,REL HUM,20250131 0000,20250131 0000,98, ,  %
RAND,H,12,REL HUM,20250131 0100,20250131 0100,89, ,  %
RAND,H,12,REL HUM,20250131 0200,20250131 0200,83, ,  %
RAND,H,12,REL HUM,20250131 0300,20250131 0300,85, ,  %
RAND,H,12,REL HUM,20250131 0400,20250131 0400,90, ,  %
RAND,H,12,REL HUM,20250131 0500,20250131 0500,91, ,  %
RAND,H,12,REL HUM,20250131 0600,20250131 0600,92, ,  %
RAND,H,12,REL HUM,20250131 0700,20250131 0700,91, ,  %
RAND,H,12,REL HUM,20250131 0800,20250131 0800,81, ,  %
RAND,H,12,REL HUM,20250131 0900,20250131 0900,68, ,  %
RAND,H,12,REL HUM,20250131 1000,20250131 1000,54, ,  %
RAND,H,12,REL HUM,20250131 1100,20250131 1100,50, ,  %
RAND,H,12,REL HUM,20250131 1200,20250131 1200,45, ,  %
RAND,H,12,REL HUM,20250131 1300,20250131 1300,44, ,  %
RAND,H,12,REL HUM,20250131 1400,20250131 1400,46, ,  %
RAND,H,12,REL HUM,20250131 1500,20250131 1500,50, ,  %
RAND,H,12,REL HUM,20250131 1600,20250131 1600,52, ,  %
RAND,H,12,REL HUM,20250131 1700,20250131 1700,75, ,  %
RAND,H,12,REL HUM,20250131 1800,20250131 1800,84, ,  %
RAND,H,12,REL HUM,20250131 1900,20250131 1900,88, ,  %
RAND,H,12,REL HUM,20250131 2000,20250131 2000,91, ,  %
RAND,H,12,REL HUM,20250131 2100,20250131 2100,90, ,  %
RAND,H,12,REL HUM,20250131 2200,20250131 2200,95, ,  %
RAND,H,12,REL HUM,20250131 2300,20250131 2300,94, ,  %
RAND,H,12,REL HUM,20250201 0000,20250201 0000,92, ,  %
RAND,H,12,REL HUM,20250201 0100,20250201 0100,80, ,  %
RAND,H,12,REL HUM,20250201 0200,20250201 0200,84, ,  %
RAND,H,12,REL HUM,20250201 0300,20250201 0300,82, ,  %
